Feature,Type,Missing_Count,Unique_Values
Institute,object,0,609
Course,object,0,86
State,object,0,18
Category,object,0,11
Quota,object,0,5
Course_Type_x,object,0,4
Institute_Type,object,0,3
Annual_Fees,float64,0,586
Stipend_Year1,float64,0,90
Bond_Years,float64,0,6
Bond_Amount,float64,0,13
Total_Beds,float64,0,225
total_rounds,float64,35566,0
mean_closing_rank,float64,35566,0
median_closing_rank,float64,35566,0
min_closing_rank,float64,35566,0
max_closing_rank,float64,35566,0
std_closing_rank,float64,35566,0
rank_range,float64,35566,0
rank_trend,float64,35566,0
stability_index,float64,35566,0
institute_Annual_Fees_mean,float64,0,260
institute_Annual_Fees_min,float64,0,117
institute_Annual_Fees_max,float64,0,146
institute_Annual_Fees_std,float64,0,223
institute_Stipend_Year1_mean,float64,0,101
institute_Stipend_Year1_min,float64,0,89
institute_Stipend_Year1_max,float64,0,89
institute_Bond_Years_mean,float64,0,28
institute_Bond_Years_max,float64,0,5
institute_Bond_Amount_mean,float64,0,41
institute_Bond_Amount_max,float64,0,10
institute_Total_Beds_mean,float64,0,225
institute_Total_Beds_max,float64,0,225
institute_Course_nunique,int64,0,29
institute_State_first,object,0,18
institute_Institute_Type_first,object,0,3
fee_bracket,category,272,5
stipend_fee_ratio,float64,0,247
has_bond,int32,0,2
beds_per_course,float64,0,327
course_closing_rank_count,int64,0,68
course_closing_rank_mean,float64,0,86
course_closing_rank_median,float64,0,86
course_closing_rank_std,float64,0,81
course_closing_rank_min,float64,0,86
course_competitiveness,float64,0,86
Course_Type_y,object,0,4
course_availability,float64,0,68
applicant_air_percentile,float64,0,1
applicant_air_normalized,float64,0,1
applicant_air_log,float64,0,1
applicant_air_bracket,object,0,1
applicant_is_general,int64,0,1
applicant_is_reserved,int64,0,1
applicant_is_ews,int64,0,1
applicant_is_ph,int64,0,1
applicant_candidate_state,object,0,1
category_quota,object,0,24
state_quota,object,0,49
course_institute_type,object,0,159
fee_bond_interaction,float64,0,325
competitive_availability,float64,0,86
Institute_target_encoded,float64,35566,0
Course_target_encoded,float64,35566,0
institute_embedding_0,float64,0,112
institute_embedding_1,float64,0,112
institute_embedding_2,float64,0,112
institute_embedding_3,float64,0,112
institute_embedding_4,float64,0,112
institute_embedding_5,float64,0,112
institute_embedding_6,float64,0,112
institute_embedding_7,float64,0,112
institute_embedding_8,float64,0,112
institute_embedding_9,float64,0,112
